company_name,previous_stock_code,verified_stock_code,verification_status,market,matched_name,reference_names,reference_sources,source_url,notes,event_rows_updated
ELITE MATERIAL CO,,2383,verified,TWSE,台光電子材料股份有限公司 / EMC,EMC | 台光電 | 台光電子材料股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=2383,FinLab ticker agrees with TWSE/TPEx official reference.,3
ELITEGROUP COMPUTER SYS,,2331,verified,TWSE,精英電腦股份有限公司 / ECS,ECS | 精英 | 精英電腦股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=2331,FinLab ticker agrees with TWSE/TPEx official reference.,4
FENG HSIN IRON & STEEL,,2015,verified,TWSE,豐興鋼鐵股份有限公司 / FH,FH | 豐興 | 豐興鋼鐵股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=2015,FinLab ticker agrees with TWSE/TPEx official reference.,2
FENG TAY ENTERPRISE CO,,9910,verified,TWSE,豐泰企業股份有限公司 / FT,FT | 豐泰 | 豐泰企業股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=9910,FinLab ticker agrees with TWSE/TPEx official reference.,4
FORMOSA INT'L HOTELS,,2707,verified,TWSE,晶華國際酒店股份有限公司 / GFRT,GFRT | 晶華 | 晶華國際酒店股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=2707,FinLab ticker agrees with TWSE/TPEx official reference.,2
FORMOSA SUMCO TECHNOLOGY,,3532,verified,TWSE,台塑勝高科技股份有限公司 / FST,FST | 台勝科 | 台塑勝高科技股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=3532,FinLab ticker agrees with TWSE/TPEx official reference.,3
GENERAL INTERFACE SOLN,,6456,verified,TWSE,GIS Holding Limited / GIS-KY,GIS | GIS Holding Limited | GIS-KY,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=6456,FinLab ticker agrees with TWSE/TPEx official reference.,7
GIANT MANUFACTURING CO.,,9921,verified,TWSE,巨大機械工業股份有限公司 / GIANT,GIANT | 巨大 | 巨大機械工業股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=9921,FinLab ticker agrees with TWSE/TPEx official reference.,5
GLOBAL UNICHIP CORP,,3443,verified,TWSE,創意電子股份有限公司 / GUC,GUC | 創意 | 創意電子股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=3443,FinLab ticker agrees with TWSE/TPEx official reference.,4
HONPRECISION,,2317,verified,TWSE,鴻海精密工業股份有限公司 / HON HAI,HON HAI | 鴻海 | 鴻海精密工業股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=2317,FinLab ticker agrees with TWSE/TPEx official reference.,1
KINSUS INTERCONNECT TECH,,3189,verified,TWSE,景碩科技股份有限公司 / KINSUS,KINSUS | 景碩 | 景碩科技股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=3189,FinLab ticker agrees with TWSE/TPEx official reference.,3
MICRO-STAR INTERNATIONAL,,2377,verified,TWSE,微星科技股份有限公司 / MSI,MSI | 微星 | 微星科技股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=2377,FinLab ticker agrees with TWSE/TPEx official reference.,9
MOSEL VITELIC,,2342,verified,TWSE,台灣茂矽電子股份有限公司 / MVI,MVI | 台灣茂矽電子股份有限公司 | 茂矽,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=2342,FinLab ticker agrees with TWSE/TPEx official reference.,4
NAN YA PRINTED CIRCUIT,,8046,verified,TWSE,南亞電路板股份有限公司 / N.P.C,N.P.C | 南亞電路板股份有限公司 | 南電,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=8046,FinLab ticker agrees with TWSE/TPEx official reference.,6
NANYA TECHNOLOGY,,2408,verified,TWSE,南亞科技股份有限公司 / NTC,NTC | 南亞科 | 南亞科技股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=2408,FinLab ticker agrees with TWSE/TPEx official reference.,3
NANYA TECHNOLOGY CORP,,2408,verified,TWSE,南亞科技股份有限公司 / NTC,NTC | 南亞科 | 南亞科技股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=2408,FinLab ticker agrees with TWSE/TPEx official reference.,3
OBI PHARMA,,4174,verified,TPEx,台灣浩鼎生技股份有限公司 / OBI,OBI | 台灣浩鼎生技股份有限公司 | 浩鼎,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TPEx OpenAPI mopsfin_t187ap03_O:CompanyName,https://www.tpex.org.tw/www/en-us/company/otcDetail?code=4174,FinLab ticker agrees with TWSE/TPEx official reference.,4
ORIENTAL UNION CHEMICAL,,1710,verified,TWSE,東聯化學股份有限公司 / OUCC,OUCC | 東聯 | 東聯化學股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=1710,FinLab ticker agrees with TWSE/TPEx official reference.,6
PHOENIX PRECISION TECH,,8021,verified,TWSE,尖點科技股份有限公司 / Topoint,Topoint | 尖點 | 尖點科技股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=8021,FinLab ticker agrees with TWSE/TPEx official reference.,2
PIXART IMAGING,,3227,verified,TPEx,原相科技股份有限公司 / PXI,PXI | 原相 | 原相科技股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TPEx OpenAPI mopsfin_t187ap03_O:CompanyName,https://www.tpex.org.tw/www/en-us/company/otcDetail?code=3227,FinLab ticker agrees with TWSE/TPEx official reference.,3
POU CHEN CORP,,9904,verified,TWSE,寶成工業股份有限公司 / PCC,PCC | 寶成 | 寶成工業股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=9904,FinLab ticker agrees with TWSE/TPEx official reference.,2
SHIHLIN ELECTR. & ENG,,1503,verified,TWSE,士林電機廠股份有限公司 / SEEC,SEEC | 士林電機廠股份有限公司 | 士電,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=1503,FinLab ticker agrees with TWSE/TPEx official reference.,1
SIMPLO TECHNOLOGY CO,,6121,verified,TPEx,新普科技股份有限公司 / SMP,SMP | 新普 | 新普科技股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TPEx OpenAPI mopsfin_t187ap03_O:CompanyName,https://www.tpex.org.tw/www/en-us/company/otcDetail?code=6121,FinLab ticker agrees with TWSE/TPEx official reference.,4
STANDARD FOODS CORP,,1227,verified,TWSE,佳格食品股份有限公司 / SFC,SFC | 佳格 | 佳格食品股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=1227,FinLab ticker agrees with TWSE/TPEx official reference.,5
TAIWAN BUSINESS BANK,,2834,verified,TWSE,臺灣中小企業銀行股份有限公司 / TBB,TBB | 臺企銀 | 臺灣中小企業銀行股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=2834,FinLab ticker agrees with TWSE/TPEx official reference.,5
TAIWAN NAVIGATION CO,,2617,verified,TWSE,台灣航業股份有限公司 / TNC,TNC | 台灣航業股份有限公司 | 台航,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=2617,FinLab ticker agrees with TWSE/TPEx official reference.,3
TAIWAN STYRENE MONOMER,,1310,verified,TWSE,台灣苯乙烯工業股份有限公司 / T.S.M.C.,T.S.M.C. | 台灣苯乙烯工業股份有限公司 | 台苯,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=1310,FinLab ticker agrees with TWSE/TPEx official reference.,2
VANGUARD INT'L SEMICON,,5347,verified,TPEx,世界先進積體電路股份有限公司 / VIS,VIS | 世界 | 世界先進積體電路股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TPEx OpenAPI mopsfin_t187ap03_O:CompanyName,https://www.tpex.org.tw/www/en-us/company/otcDetail?code=5347,FinLab ticker agrees with TWSE/TPEx official reference.,5
VIA TECHNOLOGIES,,2388,verified,TWSE,威盛電子股份有限公司 / VIA,VIA | 威盛 | 威盛電子股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=2388,FinLab ticker agrees with TWSE/TPEx official reference.,6
WAN HAI LINES,,2615,verified,TWSE,萬海航運股份有限公司 / WANHAI,WANHAI | 萬海 | 萬海航運股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=2615,FinLab ticker agrees with TWSE/TPEx official reference.,6
WIN SEMICONDUCTORS,,3105,verified,TPEx,穩懋半導體股份有限公司 / WIN,WIN | 穩懋 | 穩懋半導體股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TPEx OpenAPI mopsfin_t187ap03_O:CompanyName,https://www.tpex.org.tw/www/en-us/company/otcDetail?code=3105,FinLab ticker agrees with TWSE/TPEx official reference.,5
WINBOND ELECTRONICS CORP,,2344,verified,TWSE,華邦電子股份有限公司 / WEC,WEC | 華邦電 | 華邦電子股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=2344,FinLab ticker agrees with TWSE/TPEx official reference.,10
YIEH PHUI ENTERPRISE,,2023,verified,TWSE,燁輝企業股份有限公司 / YP,YP | 燁輝 | 燁輝企業股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=2023,FinLab ticker agrees with TWSE/TPEx official reference.,1
YOUNG FAST OPTOELECTRONI,,3622,verified,TWSE,洋華光電股份有限公司 / YFO,YFO | 洋華 | 洋華光電股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=3622,FinLab ticker agrees with TWSE/TPEx official reference.,5
YUEN FOONG YU PAPER MFG,,1907,verified,TWSE,永豐餘投資控股股份有限公司 / YFY,YFY | 永豐餘 | 永豐餘投資控股股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=1907,FinLab ticker agrees with TWSE/TPEx official reference.,1
ZHEN DING TECHNOLOGY,,4958,verified,TWSE,臻鼎科技控股股份有限公司 / ZDT,ZDT | 臻鼎-KY | 臻鼎科技控股股份有限公司,FinLab company_basic_info:公司名稱 | FinLab company_basic_info:公司簡稱 | FinLab company_basic_info:英文簡稱 | TWSE OpenAPI t187ap03_L:公司名稱 | TWSE OpenAPI t187ap03_L:公司簡稱,https://www.twse.com.tw/rwd/en/company/profile?stockNo=4958,FinLab ticker agrees with TWSE/TPEx official reference.,1
